Date,Open,High,Low,Close,Adj Close,Volume
2020-12-14 13:16:00,19088.40000000,19092.49000000,19055.57000000,19060.93000000,19060.93000000,60.15206400
2020-12-14 13:17:00,19060.92000000,19062.91000000,19033.84000000,19044.82000000,19044.82000000,72.43132000
2020-12-14 13:18:00,19044.82000000,19071.96000000,19042.31000000,19069.93000000,19069.93000000,37.60741600
2020-12-14 13:19:00,19069.93000000,19075.80000000,19055.36000000,19057.79000000,19057.79000000,40.28643200
2020-12-14 13:20:00,19057.78000000,19057.78000000,19049.49000000,19055.86000000,19055.86000000,25.09136400
2020-12-14 13:21:00,19055.86000000,19079.13000000,19052.62000000,19078.55000000,19078.55000000,15.30856500
2020-12-14 13:22:00,19078.56000000,19081.00000000,19066.80000000,19071.06000000,19071.06000000,23.41275700
2020-12-14 13:23:00,19071.06000000,19080.00000000,19070.05000000,19077.43000000,19077.43000000,19.94068700
2020-12-14 13:24:00,19077.43000000,19080.97000000,19071.30000000,19078.80000000,19078.80000000,16.00825000
2020-12-14 13:25:00,19078.80000000,19080.28000000,19077.05000000,19078.01000000,19078.01000000,6.64388100
2020-12-14 13:26:00,19078.00000000,19109.60000000,19078.00000000,19103.99000000,19103.99000000,32.67119100
2020-12-14 13:27:00,19104.82000000,19107.95000000,19090.69000000,19093.07000000,19093.07000000,26.97178100
2020-12-14 13:28:00,19093.07000000,19106.11000000,19089.31000000,19103.15000000,19103.15000000,18.61883900
2020-12-14 13:29:00,19103.15000000,19107.14000000,19095.50000000,19100.54000000,19100.54000000,21.71570100
2020-12-14 13:30:00,19100.53000000,19100.53000000,19078.01000000,19081.04000000,19081.04000000,31.89816300
2020-12-14 13:31:00,19081.05000000,19083.82000000,19069.15000000,19072.26000000,19072.26000000,30.08980400
2020-12-14 13:32:00,19072.26000000,19089.91000000,19072.26000000,19085.43000000,19085.43000000,21.63994000
2020-12-14 13:33:00,19085.42000000,19085.42000000,19066.00000000,19066.68000000,19066.68000000,27.88597200
2020-12-14 13:34:00,19066.68000000,19070.66000000,19066.02000000,19066.79000000,19066.79000000,33.33033900
2020-12-14 13:35:00,19067.27000000,19084.38000000,19066.02000000,19079.90000000,19079.90000000,20.43182500
